Zebra,Mouse,Human
,Pbln,
,Pbx1,
,Pbx3,
,Pcmt1,
,Pcsk5,
,Pde6b,
,Pdpk1,
,Pds5b,
,Pdss2,
,pf,
,Pfn1,
,Pgr,
,Phex,
,Phospho1,
,Pi4k2a,
,Pitx1,
,Pkd1,
,Pkdcc,
,Plagl1,
,Plskt13,
,Plskt14,
,Plskt15,
,Plskt16,
,Plskt17,
,Plskt18,
,Plskt19,
,Plskt20,
,Plskt21,
,Plskt22,
,Plskt23,
,Plskt44,
,Plskt45,
,Plskt46,
,Plskt47,
,Plskt48,
,Plskt49,
,Plskt50,
,Plskt51,
,Plskt52,
,Plskt53,
,Plskt54,
,Plskt55,
,Plskt56,
,Plskt57,
,Plskt58,
,Plskt59,
,Plskt64,
,Plskt65,
,Plskt66,
,Plskt67,
,Plskt68,
,Plskt69,
,Plskt70,
,Plskt71,
,Plskt72,
,Plskt73,
,Plskt74,
,Plskt75,
,Plskt76,
,Plskt77,
,Plskt78,
,Plskt79,
,Plskt80,
,Plskt81,
,Plskt82,
,Plskt83,
,Plskt84,
,Plskt85,
,Plskt89,
,Plskt90,
,Plskt91,
,Plskt92,
,Pmp22,
,Porcn,
,Postn,
,Ppd,
,Prdm1,
,Prkaca,
,Prkacb,
,Prkar1a,
,Prkg2,
,Prnp,
,Prrx1,
,Prrx2,
,Prxsh,
,Pthlh,
,Ptpn14,
,Ptprb,
,Rab23,
,Rac1,
,Rafar,
,Rafar2,
,Rafaril,
,Rai1,
,Raz,
,Rb1,
,Rbl1,
,Rbl2,
,Rdh10,
,Recql4,
,Rgsc413,
,Rnd3,
,Ror2,
,Rpgrip1l,
,Rpl38,
,Rspo2,
,Runx2,
,Ryk,
,Ryr1,
,Sall4,
,Sc5d,
,Scn1a,
,Scx,
,Scyl1,
,Sema3a,
,Sfn,
,Sfrp1,
,Sfrp2,
,Shh,
,sho,
,Shox2,
,Six1,
,Six4,
,skimp,
,Slc12a6,
,Slc39a1,
,Slc39a3,
,Slc6a9,
,Slc8a1,
,Smad3,
,Smarca4,
,Smo,
,Smoc1,
,Sndy1,
,Socs2,
,Sox5,
,Sox6,
,Sox9,
,Sp1,
,Sp3,
,Sp8,
,Spnb3,
,Spry4,
,Ssq,
,Sstr2,
,stm,
,Suco,
,Sulf1,
,Sulf2,
,Syt7,
,T,
,T(7;18)50H,
,T1pdty,
,Tbce,
,Tbx15,
,Tbx3,
,Tbx5,
,Tcf7,
,tch,
,Tfap2a,
,Tfap2b,
,Tg(ACTB-cre)2Mrt,
,Tg(ATXN3*)84.2Cce,
,Tg(Camk2a-cre)2Szi,
,Tg(Col2a1-cre)10Amc,
,Tg(Col2a1-cre)1Asz,
,Tg(Col2a1-cre)1Bhr,
,Tg(Col2a1-cre)1Rsjo,
,Tg(Col2a1-cre)1Star,
,Tg(Col2a1-cre/ERT)KA3Smac,
,Tg(Col2a1-Hdac4)1Eno,
,Tg(Col2a1-Mef2c/VP16)1Eno,
,Tg(Dll1-cre)1Gos,
,Tg(EIIa-cre)C5379Lmgd,
,Tg(H2-D-Il15)3304Clgr,
,Tg(Hoxd9/lacZ/neo)2Ddu,
,Tg(Hoxd9/lacZ/neo)3Ddu,
,Tg(Hoxd9/lacZ/neo)4Ddu,
,Tg(Hoxd9/lacZ/neo)5Ddu,
,Tg(Kera-PITX2*A)AHjal,
,Tg(Kera-PITX2*A)BHjal,
,Tg(KRT14-cre)1Amc,
,Tg(KRT14-cre)1Ipc,
,Tg(KRT14-cre/ERT2)1Ipc,
,Tg(KRT14-cre/PGR)1Der,
,Tg(Krt14-Nog)#Jake,
,Tg(KRT5-cre/PGR)1Der,
,Tg(Mpz-cre)26Mes,
,Tg(Msx2-cre)5Rem,
,Tg(Msx2-En1)86Alj,
,Tg(Mx1-cre)1Cgn,
,Tg(Myh6-SLC8A1)AMord,
,Tg(NEFH)200Jpj,
,Tg(NFH)120Jpj,
,Tg(Pax2-cre)1Akg,
,Tg(Pgk1-FGF2)15Cofn,
,Tg(Prnp-AR*112Q)#Deme,
,Tg(Prnp-SNCA*A53T)AAub,
,Tg(Prrx1-cre)1Cjt,
,Tg(Prrx1-cre)98Mlgn,
,Tg(Prrx1-cre/ERT2)1Mlgn,
,Tg(Prrx1-Hand2)2Eno,
,Tg(Prrx1-Hand2)5Eno,
,Tg(Prrx1-Hand2)6Eno,
,Tg(Rarb-cre)1Mrc,
,Tg(Rb1)1Blg,
,Tg(RP23-326M22)760She,
,Tg(Scx-GFP)1Stzr,
,Tg(Slc32a1-cre)2.1Hzo,
,Tg(SOD1)2Gur,
,Tg(SOD1*G127X)716Mrkl,
,Tg(SOD1*G85R)148Dwc,
,Tg(SOD1*G85R)74Dwc,
,Tg(Sod1*G86R)M1Jwg,
,Tg(SOD1*G93A)<dl>1Gur,
,Tg(SOD1*G93A)1Gur,
,Tg(Sox2-cre)1Amc,
,Tg(T-cre)1Lwd,
,Tg(Thy1-MAPT*P301L)2Vln,
,Tg(Thy1-SNCA*A30P)18Pjk,
,Tg(Thy1-Sncg)HvP36Putt,
,Tg(Thy1-SOD1*G93A)T3Hgrd,
,Tg(Thy1-TARDBP)4Singh,
,Tg(Thy1-TARDBP)6Singh,
,Tg(Tuba1-MAPT)14Vle,
,Tg(Wnt1-cre)11Rth,
,Tg(Wnt1-En1)1Amc,
,Tg(Zp3-cre)93Knw,
,Tgfb2,
,Tgfbr3,
,Th,
,Thra,
,tn,
,Trak1,
,Trp63,
,Twist1,
,Uchl1,
,Ugt8a,
,Vangl2,
,Vcl,
,Vegfa,
,Vps54,
,vsd,
,Wdr19,
,Wls,
,Wnt1,
,Wnt3,
,Wnt3a,
,Wnt5a,
,Wnt7a,
,Wnt7b,
,Zbtb16,
,Zeb1,
,Zic1,
